category,subcat,style,gauge,length,notes
nail,finishing,smooth,18,"5/8""",
nail,finishing,smooth,18,"3/4""",
nail,finishing,smooth,19,"1/2""",
nail,brad,smooth,19,"1/2""",
,,,,,
nail,finishing,,13,"1 1/2""",
nail,heavy,,8D,"2 1/2""",
nail,brad,,15,"1""",
nail,finishing,,16,"7/8""",
nail,finishing,ring,16,"7/8""",
nail,heavy,,4D,"1 1/2""",
